gene,total,mean,var,sd,min,max,median
CNAG_00002,11342,378.06666666666666,8561.305747126436,92.52732432706803,174,549,374
CNAG_00003,1392,46.4,374.11034482758623,19.34193229301525,19,91,41.5
CNAG_00004,3031,101.03333333333333,418.65402298850574,20.461036703659612,57,148,101.5
CNAG_00005,17008,566.9333333333333,29453.92643678161,171.62146263443162,310,929,565
CNAG_00006,43992,1466.4,113108.17931034483,336.31559480693846,748,2139,1461
CNAG_00007,12513,417.1,15786.162068965517,125.64299450811222,194,703,422.5
CNAG_00008,8936,297.8666666666667,8323.567816091954,91.23358929742902,141,463,278.5
CNAG_00009,6695,223.16666666666666,3073.109195402299,55.43563109952208,148,323,221
CNAG_00010,8079,269.3,3319.044827586207,57.61115193767789,159,369,267.5
CNAG_00011,4805,160.16666666666666,2216.6264367816093,47.08106240073188,75,276,159.5
CNAG_00012,13293,443.1,16497.26551724138,128.44168138591687,201,670,442
CNAG_00013,9919,330.6333333333333,10142.722988505748,100.7110867209055,140,496,336.5
CNAG_00014,1752,58.4,696.6620689655173,26.39435676362501,18,107,48
CNAG_00015,10013,333.76666666666665,57693.70229885058,240.19513379510954,84,850,200.5
CNAG_00016,8790,293,5811.310344827586,76.231950944650407,151,445,290
CNAG_00017,3359,111.96666666666667,2408.516091954023,49.07663488824415,37,205,101.5
CNAG_00018,14332,477.73333333333335,10834.064367816092,104.08681169012765,273,646,469.5
CNAG_00019,75911,2530.366666666667,474684.1022988506,688.9732232088926,1285,4042,2666
CNAG_00020,25985,866.1666666666666,60217.247126436785,245.3920274304705,439,1378,827
CNAG_00021,11966,398.8666666666667,28229.085057471264,168.0151334180087,150,859,372.5
CNAG_00022,18153,605.1,19598.23103448276,139.99368212345428,293,794,644.5
CNAG_00023,972,32.4,367.6965517241379,19.175415294698,5,81,28.5
CNAG_00024,26450,881.6666666666666,63705.12643678161,252.39874491918854,444,1448,907
CNAG_00025,12388,412.93333333333334,34083.098850574715,184.6160850266702,160,751,355.5
CNAG_00026,13440,448,14378,119.90829829498874,251,745,464.5
CNAG_00027,3933,131.1,1312.989655172414,36.23519911870796,69,201,122.5
CNAG_00028,2878,95.93333333333334,911.7885057471265,30.19583590078484,48,150,92.5
CNAG_00029,1199,39.96666666666667,167.61954022988505,12.946796523846547,15,66,38
CNAG_00030,904,30.133333333333333,178.60229885057473,13.364217105785686,6,62,29.5
CNAG_00031,4578,152.6,1201.3517241379311,34.660521117518286,53,227,149
CNAG_00032,1494,49.8,670.1655172413793,25.88755525810383,17,99,43
CNAG_00034,732640,24421.333333333332,94500690.85057472,9721.146581066181,10528,45088,25793.5
CNAG_00035,1623,54.1,1352.4379310344827,36.77550721654948,9,119,33.5
CNAG_00036,7900,263.3333333333333,49254.16091954023,221.93278468838312,27,695,156.5
CNAG_00038,7015,233.83333333333334,13751.591954022988,117.26718191387984,59,494,208
CNAG_00039,467,15.566666666666666,61.84022988505747,7.86385591710946,2,35,15
CNAG_00040,25078,835.9333333333333,61342.96091954023,247.6751116271884,371,1581,849.5
CNAG_00043,6639,221.3,6470.355172413793,80.43851796505075,93,446,197
CNAG_00044,10850,361.6666666666667,8626.436781609196,92.8786131550703,189,578,365.5
CNAG_00045,7164,238.8,21583.406896551725,146.91292283714094,73,596,176.5
CNAG_00046,39463,1315.4333333333334,91550.18505747126,302.5726112150127,659,1931,1250
