condition,sample,total
WT-Y-30,S1,8598678
WT-Y-30,S2,8929486
WT-Y-30,S3,8402642
FL-Y-30,S4,7964256
FL-Y-30,S5,7340551
FL-Y-30,S6,4713981
WT-Y-37,S7,8299917
WT-Y-37,S8,7313813
WT-Y-37,S9,6837671
FL-Y-37,S10,8255708
FL-Y-37,S11,8496230
FL-Y-37,S12,9015032
WT-YC-37,S13,7646849
WT-YC-37,S14,6890968
WT-YC-37,S15,6227548
FL-YC-37,S16,6580872
FL-YC-37,S17,7313672
FL-YC-37,S18,7918805
WT-YE-37,S19,6971005
WT-YE-37,S20,8040418
WT-YE-37,S21,4261747
FL-YE-37,S22,6416672
FL-YE-37,S23,7323647
FL-YE-37,S24,7610185
WT-YCE-37,S25,7459215
WT-YCE-37,S26,6780859
WT-YCE-37,S27,6108125
FL-YCE-37,S28,6476326
FL-YCE-37,S29,4424085
FL-YCE-37,S30,5359457
